mutants,rpoA,Phage_circular,conditions,PRCI_circular,Replicate
E1_CSP,320871.75,9347831,4hour,7398872.5,3rd
E1_CSP,346465.25,10677052,4hour,7850729.5,3rd
NO_CSP,,40764.96,2hour,1224622.8,4th
NO_CSP,,50148.52,2hour,1387787.2,4th
NO_CSP,,66389.93,2hour,1642732,4th
CSP,,3734452.8,2hour,1241928.4,4th
CSP,,3351283,2hour,1168341.2,4th
CSP,,3534936.8,2hour,1314570.1,4th
CSP_DnaseI,,92453.06,2hour,55044.68,4th
CSP_DnaseI,,97531.06,2hour,70390.97,4th
CSP_DnaseI,,91988.13,2hour,68187.23,4th
E99,,33124.05,2hour,1100703.1,4th
E99,,41044.77,2hour,1226409.9,4th
E99,,34097.94,2hour,1207831.2,4th
E90,,54319.24,2hour,1129869.8,4th
E90,,61114.46,2hour,1374665.2,4th
E90,,62685.53,2hour,1424322.2,4th
E50,,48102.91,2hour,963077.5,4th
E50,,59346.98,2hour,1403123.9,4th
E50,,57053.32,2hour,1368226.1,4th
E10,,50367.41,2hour,1447433.6,4th
E10,,56826.87,2hour,1454949.5,4th
E10,,61560.77,2hour,1508148.2,4th
E1,,50137.48,2hour,1397370.1,4th
E1,,48299.14,2hour,1267516.4,4th
E1,,53107.32,2hour,1312839.8,4th
E99_CSP,,6260263,2hour,4708842,4th
E99_CSP,,5867439.5,2hour,4922326.5,4th
E99_CSP,,7133708,2hour,4877529.5,4th
E90_CSP,,8220300.5,2hour,5408703.5,4th
E90_CSP,,8650443,2hour,6150505,4th
E90_CSP,,10080605,2hour,6292495.5,4th
E50_CSP,,12186562,2hour,5211724,4th
E50_CSP,,16372421,2hour,6707956,4th
E50_CSP,,12691450,2hour,5873088,4th
E10_CSP,,17351632,2hour,4331345.5,4th
E10_CSP,,13344923,2hour,4373590,4th
E10_CSP,,15764381,2hour,5108367.5,4th
E1_CSP,,14486198,2hour,3176813.5,4th
E1_CSP,,12858181,2hour,3067625.8,4th
E1_CSP,,14056676,2hour,3843726,4th
NO_CSP,,135041.95,4hour,1997121.5,4th
NO_CSP,,138607.84,4hour,2489157.2,4th
NO_CSP,,149003.4,4hour,2393311.5,4th
